Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9889561,"The Rise of Theodore Roosevelt (Theodore Roosevelt, #1)",Edmund  Morris,"Morris, Edmund",,"=""""","=""""",0,4.22,Modern Library,Kindle Edition,1162,2010,1979,,2022/12/29,to-read,to-read (#61),to-read,,,,0,0
73931159,Discourses and Selected Writings of Epictetus illustrated edition,Epictetus,"Epictetus, Epictetus",,"=""""","=""""",0,4.27,,Kindle Edition,526,2022,108,,2022/12/29,to-read,to-read (#38),to-read,,,,0,0
60654237,"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking",Sönke Ahrens,"Ahrens, Sönke",,"=""3982438802""","=""9783982438801""",0,4.08,Sönke Ahrens,Paperback,182,2022,2017,2022/12/28,2022/12/29,,,read,,,,1,0
37774445,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,"Kabat-Zinn, Jon",,"=""""","=""""",0,4.13,Macmillan Audio,Audiobook,,2000,1994,,2023/01/08,currently-reading,currently-reading (#2),currently-reading,,,,1,0
3828902,Thinking In Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana Wright,"=""1603580557""","=""9781603580557""",0,4.19,Chelsea Green Publishing,Paperback,218,2008,2008,2024/02/05,2023/03/03,to-read,to-read (#106),to-read,,,,1,0
4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,"Kim, W. Chan",Renée Mauborgne,"=""1591396190""","=""9781591396192""",0,4.01,Harvard Business Review Press,Hardcover,240,2005,2005,,2023/03/02,to-read,to-read (#101),to-read,,,,0,0
28245250,The Eyes of the Dragon,Stephen        King,"King, Stephen",,"=""1501141198""","=""9781501141195""",0,3.95,Scribner,Kindle Edition,386,2017,1984,,2024/01/27,to-read,to-read (#105),to-read,,,,0,0
34084,"The Waste Lands (The Dark Tower, #3)",Stephen        King,"King, Stephen",Ned Dameron,"=""0670032565""","=""9780670032563""",0,4.25,Viking Adult,Hardcover,422,2003,1991,,2024/01/27,,,read,,,,0,0
5094,"The Drawing of the Three (The Dark Tower, #2)",Stephen        King,"King, Stephen",,"=""0451210859""","=""9780451210852""",0,4.24,Signet,Paperback,463,2003,1987,,2024/01/27,,,read,,,,0,0
6356190,The Little Sisters of Eluria,Stephen        King,"King, Stephen",Michael   Whelan,"=""1880418738""","=""9781880418734""",0,4.18,"Donald M. Grant Publisher, Inc.",Hardcover,312,2008,1998,,2024/01/27,,,read,,,,0,0
5091,"The Dark Tower (The Dark Tower, #7)",Stephen        King,"King, Stephen",Michael   Whelan,"=""""","=""""",0,4.29,Pocket Books,Mass Market Paperback,1050,2006,2004,,2024/01/27,,,read,,,,0,0
5093,"Song of Susannah (The Dark Tower, #6)",Stephen        King,"King, Stephen",Darrel Anderson,"=""1416521496""","=""9781416521495""",0,4.00,Pocket Books,Mass Market Paperback,544,2006,2004,,2024/01/27,,,read,,,,0,0
4978,"Wolves of the Calla (The Dark Tower, #5)",Stephen        King,"King, Stephen",Bernie Wrightson,"=""141651693X""","=""9781416516934""",0,4.20,Pocket Books,Mass Market Paperback,960,2006,2003,,2024/01/27,,,read,,,,0,0
12341557,"The Wind Through the Keyhole (The Dark Tower, #4.5)",Stephen        King,"King, Stephen",Jae Lee,"=""""","=""""",0,4.14,Scribner,Kindle Edition,322,2012,2012,,2024/01/27,,,read,,,,0,0
5096,"Wizard and Glass (The Dark Tower, #4)",Stephen        King,"King, Stephen",Dave McKean,"=""0340829788""","=""9780340829783""",0,4.27,New English Library,Paperback,896,2003,1997,,2024/01/27,,,read,,,,0,0
43615,"The Gunslinger (The Dark Tower, #1)",Stephen        King,"King, Stephen",,"=""1501143514""","=""9781501143519""",0,3.91,Plume,Paperback,231,2003,1982,,2024/01/27,to-read,to-read (#104),to-read,,,,0,0
43419431,Dune (Dune #1),Frank Herbert,"Herbert, Frank",,"=""""","=""""",5,4.29,Ace,Kindle Edition,883,2018,1965,2023/05/21,2022/09/28,,,read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",5,4.17,Celadon Books,Hardcover,336,2019,2019,2023/05/09,2022/09/28,,,read,A masterful manipulation of the reader’s senses…,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.32,Avery,Kindle Edition,319,2018,2018,2023/03/23,2022/09/28,abandoned,abandoned (#2),read,,,,1,0
35249663,Inspired: How to Create Tech Products Customers Love,Marty Cagan,"Cagan, Marty",,"=""1119387507""","=""9781119387503""",0,4.23,Wiley,Hardcover,349,2017,2008,,2023/03/02,to-read,to-read (#103),to-read,,,,0,0
22668729,Hooked: How to Build Habit-Forming Products,Nir   Eyal,"Eyal, Nir",Ryan Hoover,"=""1591847788""","=""9781591847786""",0,4.12,Portfolio,Hardcover,256,2014,2013,,2023/03/02,to-read,to-read (#102),to-read,,,,0,0
28787784,"Harry Potter: The Complete Collection (Harry Potter, #1-7)",J.K. Rowling,"Rowling, J.K.",Olly Moss,"=""""","=""""",0,4.73,Pottermore Publishing,Kindle Edition,3585,2015,2007,,2023/02/28,currently-reading,currently-reading (#1),currently-reading,,,,1,0
42109660,The 12 Week Year Field Guide: Get More Done In 12 Weeks Than Others Do In 12 Months,Brian P. Moran,"Moran, Brian P.",Michael Lennington,"=""""","=""""",0,3.89,Wiley,Kindle Edition,117,2018,,,2023/02/23,to-read,to-read (#100),to-read,,,,0,0
6596,The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,"Ruiz, Miguel",Janet Mills,"=""1878424505""","=""9781878424501""",0,4.19,Amber-Allen Publishing,Hardcover,152,2001,1997,,2023/02/17,to-read,to-read (#99),to-read,,,,0,0
57432311,The Promises of Giants,John Amaechi,"Amaechi, John",,"=""1529345871""","=""9781529345872""",0,4.31,Nicholas Brealey,Hardcover,224,2021,,,2023/02/17,to-read,to-read (#98),to-read,,,,0,0
890728,The Peter Principle,Laurence J. Peter,"Peter, Laurence J.",Raymond Hull,"=""1568491611""","=""9781568491615""",0,3.75,Buccaneer Books,Hardcover,179,1996,1969,,2023/02/10,to-read,to-read (#97),to-read,,,,0,0
58563697,"The Gap and The Gain: The High Achievers' Guide to Happiness, Confidence, and Success",Dan  Sullivan,"Sullivan, Dan",Benjamin P. Hardy,"=""1401964370""","=""9781401964375""",0,4.23,Hay House Business,Kindle Edition,244,2021,,,2023/01/31,to-read,to-read (#96),to-read,,,,0,0
52523856,Hell Yeah or No: What's Worth Doing,Derek Sivers,"Sivers, Derek",,"=""""","=""""",0,4.18,Hit Media,ebook,122,2020,2020,,2023/01/23,to-read,to-read (#95),to-read,,,,0,0
55473625,The Power of Giving Away Power: How the Best Leaders Learn to Let Go,Matthew Barzun,"Barzun, Matthew",,"=""0525541047""","=""9780525541042""",0,3.86,Optimism Press,Hardcover,240,2021,,,2023/01/22,to-read,to-read (#94),to-read,,,,0,0
42118073,Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,"Schmidt, Eric","Jonathan Rosenberg, Alan Eagle","=""0062839268""","=""9780062839268""",4,3.98,Harper Business,Hardcover,240,2019,2019,2023/01/20,2022/09/28,,,read,,,,1,0
53127025,"The Advice Trap: Be Humble, Stay Curious & Change the Way You Lead Forever",Michael Bungay Stanier,"Stanier, Michael Bungay",,"=""1989025757""","=""9781989025758""",0,4.11,Page Two Books,paperback,224,2020,,,2023/01/18,to-read,to-read (#93),to-read,,,,0,0
29342515,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,"Stanier, Michael Bungay",,"=""""","=""""",0,4.01,Box of Crayons Press,ebook,117,2016,2016,,2023/01/18,to-read,to-read (#92),to-read,,,,0,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",0,4.05,St. Martin's Press,Hardcover,336,2017,2017,,2023/01/17,to-read,to-read (#91),to-read,,,,0,0
23158207,How Google Works,Eric Schmidt,"Schmidt, Eric",Jonathan Rosenberg,"=""""","=""""",0,4.05,Grand Central Publishing,ebook,286,2014,2014,,2023/01/17,to-read,to-read (#90),to-read,,,,0,0
58446721,The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,"Pink, Daniel H.",,"=""0735210659""","=""9780735210653""",0,3.82,Riverhead Books,Hardcover,239,2022,2022,,2023/01/16,to-read,to-read (#89),to-read,,,,0,0
55742688,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,"=""0374715246""","=""9780374715243""",4,4.18,"Farrar, Straus and Giroux",Kindle Edition,290,2021,2021,2023/01/16,2023/01/08,,,read,,,,1,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,"Collins, Jim",,"=""0066620996""","=""9780066620992""",0,4.12,Harper Business,Hardcover,300,2001,2001,,2023/01/16,to-read,to-read (#88),to-read,,,,0,0
34427017,Midlife: A Philosophical Guide,Kieran Setiya,"Setiya, Kieran",,"=""0691173931""","=""9780691173931""",0,3.55,Princeton University Press,Hardcover,189,2017,2017,,2023/01/16,to-read,to-read (#87),to-read,,,,0,0
49247089,"Be Water, My Friend: The Teachings of Bruce Lee",Shannon Lee,"Lee, Shannon",,"=""1250206685""","=""9781250206688""",0,4.17,Flatiron Books,Hardcover,240,2020,2020,,2023/01/09,to-read,to-read (#86),to-read,,,,0,0
4855,How to Live on 24 Hours a Day,Arnold Bennett,"Bennett, Arnold",,"=""1406922900""","=""9781406922905""",0,3.62,Hard Press,Paperback,92,2006,1908,,2023/01/09,to-read,to-read (#85),to-read,,,,0,0
58330567,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,"Brown, Brené",Gavin Aung Than,"=""0399592555""","=""9780399592553""",0,4.32,Random House,Hardcover,301,2021,2021,,2023/01/08,to-read,to-read (#84),to-read,,,,0,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",0,4.47,Random House,Hardcover,352,2018,2018,,2023/01/08,to-read,to-read (#83),to-read,,,,0,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.16,Grand Central Publishing,Hardcover,296,2016,2016,,2023/01/08,to-read,to-read (#82),to-read,,,,0,0
25814544,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Jake Knapp,"Knapp, Jake","John Zeratsky, Braden Kowitz","=""""","=""9781501121746""",0,4.19,Simon & Schuster,Hardcover,274,2016,2016,,2023/01/08,to-read,to-read (#81),to-read,,,,0,0
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,"Knapp, Jake",John Zeratsky,"=""0525572422""","=""9780525572428""",0,4.07,Crown Currency,Hardcover,287,2018,2018,,2023/01/08,to-read,to-read (#80),to-read,,,,0,0
61407856,The Girl Who Would Be Free: A Fable About Epictetus,Ryan Holiday,"Holiday, Ryan",Victor Juhasz,"=""""","=""9798985729108""",0,4.52,Brass Check,Hardcover,148,2022,,,2023/01/08,to-read,to-read (#79),to-read,,,,0,0
57057198,The Boy Who Would Be King: A Fable About Marcus Aurelius,Ryan Holiday,"Holiday, Ryan",Victor Juhasz,"=""""","=""""",0,4.40,Brass Check,Kindle Edition,100,2021,2021,,2023/01/08,to-read,to-read (#78),to-read,,,,0,0
20494955,The Roman Empire: A Very Short Introduction (Very Short Introductions),Christopher     Kelly,"Kelly, Christopher",,"=""""","=""""",0,3.46,OUP Oxford,Kindle Edition,169,2006,2006,,2022/12/29,"abandoned, to-read","abandoned (#1), to-read (#77)",to-read,,,,0,0
59616977,Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"Forte, Tiago",,"=""1982167386""","=""9781982167387""",5,4.04,Simon Element / Simon Acumen,Hardcover,272,2022,2022,2023/01/07,2022/12/29,,,read,,,,1,0
58165477,"Digital Zettelkasten: Principles, Methods, & Examples",David Kadavy,"Kadavy, David",,"=""""","=""""",0,3.70,,Kindle Edition,79,2021,,,2023/01/07,to-read,to-read (#76),to-read,,,,0,0
377965,The History of the Decline and Fall of the Roman Empire Volume I,Edward Gibbon,"Gibbon, Edward",David P. Womersley,"=""0140433937""","=""9780140433937""",0,4.17,Penguin Classics,Paperback,1114,1996,1776,,2023/01/07,to-read,to-read (#75),to-read,,,,0,0
17204679,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.",Ilse Lasch,"=""""","=""""",0,4.37,Beacon Press,Kindle Edition,188,2006,1946,,2022/09/28,to-read,to-read (#15),to-read,,,,0,0
43621841,"The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness",Jonas Salzgeber,"Salzgeber, Jonas",,"=""3952506915""","=""9783952506912""",0,4.19,Self-published,Kindle Edition,287,2019,2019,,2023/01/07,to-read,to-read (#74),to-read,,,,0,0
53019828,The Imposter Cure: How to stop feeling like a fraud and escape the mind-trap of imposter syndrome,Jessamy Hibberd,"Hibberd, Jessamy",,"=""""","=""""",0,3.93,Hachette,Kindle Edition,288,2019,2019,,2023/01/06,to-read,to-read (#73),to-read,,,,0,0
60853307,How Leadership (Actually) Works: A Navy SEAL’s Complete System for Coordinating Teams,Larry Yatch,"Yatch, Larry",,"=""1544521685""","=""9781544521688""",0,4.22,Lioncrest Publishing,Kindle Edition,241,2022,,,2023/01/06,to-read,to-read (#72),to-read,,,,0,0
9420697,"The Compound Effect: Jumpstart Your Income, Your Life, Your Success",Darren Hardy,"Hardy, Darren",,"=""""","=""""",0,4.21,SUCCESS Books,Kindle Edition,162,2010,2010,,2023/01/01,to-read,to-read (#71),to-read,,,,0,0
10865206,"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",Kelly McGonigal,"McGonigal, Kelly",,"=""1583334386""","=""9781583334386""",0,4.13,Avery,Hardcover,275,2011,2011,,2023/01/01,to-read,to-read (#70),to-read,,,,0,0
10639,The Paradox of Choice: Why More Is Less,Barry Schwartz,"Schwartz, Barry",,"=""0060005696""","=""9780060005696""",0,3.83,Harper Perennial,Paperback,265,2005,2004,,2022/12/29,to-read,to-read (#69),to-read,,,,0,0
35414701,Exactly What to Say: The Magic Words for Influence and Impact,Phil M. Jones,"Jones, Phil M.",,"=""0692881956""","=""9780692881958""",0,3.75,Box of Tricks Publishing,Paperback,148,2017,2017,,2022/12/29,to-read,to-read (#68),to-read,,,,0,0
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",0,4.22,Gallery Books,Paperback,288,1998,1936,,2022/12/29,,,read,,,,1,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",0,4.46,Scribner,Hardcover,400,2016,2016,,2022/12/29,to-read,to-read (#67),to-read,,,,0,0
17660462,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,"Stone, Brad",,"=""0316219266""","=""9780316219266""",0,4.14,"Little, Brown and Company",Hardcover,384,2013,2013,,2022/12/29,,,read,,,,1,0
38821039,The Making of a Manager: What to Do When Everyone Looks to You,Julie Zhuo,"Zhuo, Julie",,"=""0735219567""","=""9780735219564""",0,4.20,Portfolio,Hardcover,288,2019,2019,,2022/12/29,to-read,to-read (#66),to-read,,,,0,0
53138021,"Just Work: How to Root Out Bias, Prejudice, and Bullying to Build a Kick-Ass Culture of Inclusivity",Kim Malone Scott,"Scott, Kim Malone",,"=""1250203481""","=""9781250203489""",0,3.78,St. Martin's Press,Hardcover,416,2021,2021,,2022/12/29,to-read,to-read (#65),to-read,,,,0,0
996139,What Makes Sammy Run?,Budd Schulberg,"Schulberg, Budd",,"=""0679734228""","=""9780679734222""",0,4.09,Vintage,Paperback,328,1993,1941,2022/10/03,2022/12/29,favorites,favorites (#2),read,,,,1,0
